path,label
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0027037.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/t-pilar-cyst-12.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/6_223.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/v-varicella-3.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0028853.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0028753.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0056126.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0027545.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_6822917.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0025925.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0032967.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/v-warts-plantar-92.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-lichen-simplex-chronicus-150.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0030637.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-warts-flat-1.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0029345.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0059642.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0024550.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0057290.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/t-4th1IMG006.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/208_0_7.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/v-lichen-simplex-chronicus-190.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-eczema-face-10.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k/t-kerion-3.jpg,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/v-sebaceous-hyperplasia-43.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/1_41.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0061978.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0061423.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k/t-intertrigo-41.jpg,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/t-seborrheic-keratosis-irritated-144.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k/v-candidiasis-diaper-24.jpg,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0026783.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0072153.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0066764.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_7572137.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-psoriasis-erythrodermic-27.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/3_26.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0032319.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0032820.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/v-reiter-syndrome-19.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-herpes-type-1-recurrent-57.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0012126_downsampled.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-lichen-simplex-chronicus-103.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-warts-digitate-14.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/t-seborrheic-keratoses-smooth-111.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k/t-tinea-laboratory-28.jpg,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-eczema-anal-2.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-herpes-zoster-128.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-herpes-cutaneous-92.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-eczema-hand-109.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/1_2.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0056640.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0072670.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-neurotic-excoriations-64.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0072184.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-pityriasis-rosea-164.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0062587.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0062066.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0028150.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/6_67.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0029452.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/t-05atopicMouth012306.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0031089.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-Psoriasis-treatment-6.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0055392.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/t-05PityriasisAlbal042604.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_7620514.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-psoriasis-pustular-generalized-62.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0067869.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k/t-tinea-foot-dorsum-12.jpg,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/v-reiter-syndrome-17.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/t-nevus-sebaceous-12.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/9_14.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0058964.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-psoriasis-scalp-52.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_6988287.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0013721_downsampled.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/9_16.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/t-3Eczema3-300.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0063091.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-id-reaction-11.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/2_34.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0064248.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-herpes-zoster-113.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/8_22.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/v-Psoriasis-Anus-18.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/t-keratoacanthoma-140.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/14_17.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/6_209.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0031441.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0027375.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_7167473.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0054402.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/t-05KeratosisPilaris0510048.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/t-Img0052.jpg,3. Atopic Dermatitis - 1.25k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/v-eczema-chronic-1.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0071753.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-eczema-leg-15.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0030823.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0065678.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/v-keratoacanthoma-14.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-psoriasis-erythrodermic-4.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-eczema-subacute-40.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k/t-candidiasis-diaper-12.jpg,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0072709.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0013797_downsampled.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-Psoriasis-Histology-24.jpg,7. Psoriasis pictures Lichen Planus and related diseases - 2k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0054343.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0003728_downsampled.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_6730455.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/5. Melanocytic Nevi (NV) - 7970/ISIC_0028775.jpg,5. Melanocytic Nevi (NV) - 7970
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_7596866.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/3_11.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/v-warts-cryotherapy-6.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/t-seborrheic-keratosis-irritated-122.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-warts-flat-16.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/2_29.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_7607335.jpg,2. Melanoma 15.75k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/1. Eczema 1677/t-Dyshidrosis-40.jpg,1. Eczema 1677
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k/t-tinea-body-96.jpg,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/t-herpes-cutaneous-50.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0031017.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/6_161.jpg,10. Warts Molluscum and other Viral Infections - 2103
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/6. Benign Keratosis-like Lesions (BKL) 2624/ISIC_0063272.jpg,6. Benign Keratosis-like Lesions (BKL) 2624
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/8. Seborrheic Keratoses and other Benign Tumors - 1.8k/t-dermatofibroma-14.jpg,8. Seborrheic Keratoses and other Benign Tumors - 1.8k
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0059226.jpg,4. Basal Cell Carcinoma (BCC) 3323
/kaggle/input/datasets/ismailpromus/skin-diseases-image-dataset/IMG_CLASSES/2. Melanoma 15.75k/ISIC_6805527.jpg,2. Melanoma 15.75k
